IDENTIFIER.OTHER,DC.TITLE,DC.DESCRIPTION.ABSTRACT,DC.CONTRIBUTOR.AUTHOR,DC.CONTRIBUTOR.OTHER,DC.DATE.ISSUED,DC.DATE.CREATED,DC.COVERAGE.TEMPORAL,DC.TITLE.FILENAME ,DC.DESCRIPTION.FILENAME,DC.TYPE,DC.RIGHTS.ACCESS,DC.DATE.OPEN,DC.RIGHTS.COPYRIGHT,DC.LANGUAGE.ISO
9811_0003_00377,"American Education, 1",,"Duderstadt, James J.",,2015,1989-12-14,,jjd969.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00378,"American Education, 1",,"Duderstadt, James J.",,2015,1989-12-14,,JJD971.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00379,Bo 1,,"Duderstadt, James J.",,2015,1989-12-13,,jjd976.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00380,Bo 1,,"Duderstadt, James J.",,2015,1989-12-13,,JJD979.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00381,"Campaign Wrapup, 1",,"Duderstadt, James J.",,2015,1989-11-03,,jjd980.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00382,"Campaign Wrapup, 1",,"Duderstadt, James J.",,2015,1989-11-03,,jjd981.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00383,"Campaign Wrapup, 1",,"Duderstadt, James J.",,2015,1989-11-03,,jjd981.ppt,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00384,Case Statement,,"Duderstadt, James J.",,2015,1989-09-26,,jjd982.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00385,Chemistry Dedication,,"Duderstadt, James J.",,2015,1989-09-15,,jjd984.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00386,Chemistry Lunch,,"Duderstadt, James J.",,2015,1989-09-14,,jjd986.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00387,Citizens ResCouncil,,"Duderstadt, James J.",,2015,1989-09-18,,jjd987.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00388,"Commence-Fall-89, 1",,"Duderstadt, James J.",,2015,1989-12-14,,jjd988.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00389,Corporate Remarks,,"Duderstadt, James J.",,2015,1989-09-13,,jjd991.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00390,Costs of Education,,"Duderstadt, James J.",,2015,1989-08-31,,jjd992.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00391,"Education, 1",,"Duderstadt, James J.",,2015,1989-11-13,,jjd996.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00392,"Education 1.0, 1",,"Duderstadt, James J.",,2015,1989-11-13,,jjd997.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00393,"Education 1.3, 1",,"Duderstadt, James J.",,2015,1989-11-13,,jjd998.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00394,"Education Notes, 1",,"Duderstadt, James J.",,2015,1989-12-25,,jjd999.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00395,Engineering Comm,,"Duderstadt, James J.",,2015,1990-04-13,,jjd1004.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00396,Flint Rotary,,"Duderstadt, James J.",,2015,1990-03-25,,jjd1005.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00397,GM SpiritAwards,,"Duderstadt, James J.",,2015,1990-03-23,,jjd1009.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00398,Hartford Sermon 2.0(act),,"Duderstadt, James J.",,2015,1990-06-27,,jjd1012.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
