ORIGINAL,uri
"Dieterle, Enoch, 1865-",/agents/people/9249
"Dwyer, John W. (John William), b. 1865.",/agents/people/9250
"Kline, Fred B., b. 1865.",/agents/people/9251
"McBrier, Edwin Merton, 1865-",/agents/people/9252
"McDonald, John Samuel, 1865-",/agents/people/9253
"McGill, Charles William, 1865-",/agents/people/9254
"Riggs, Henry Earle, b. 1865.",/agents/people/9255
"Townsend, George H., 1865-",/agents/people/9256
"Armstrong, George Washington, 1866-",/agents/people/9257
"Bland, Joseph Edward, 1866-",/agents/people/9258
"Cavanaugh, Martin J., 1866-",/agents/people/9259
"Dresser, Horatio W. (Horatio Willis), b. 1866.",/agents/people/9260
"Dustin, Fred, 1866-",/agents/people/9261
"Henderson, William D., b. 1866.",/agents/people/9262
"Marquis, Samuel Simpson, 1866-",/agents/people/9263
"Mason, William Smith, b. 1866.",/agents/people/9264
"Penney, Harvey A., 1866-",/agents/people/9265
"Perry, Henry Ernest, 1866-",/agents/people/9266
"Rayburn, Robert H., 1866-",/agents/people/9267
"Copley, Almon Ward, 1867-",/agents/people/9268
"Davidson, James Edward, 1867-",/agents/people/9269
"Stone, Harriette, 1867-",/agents/people/9270
"Bredig, Georg, b. 1868.",/agents/people/9271
"LaFetra, Linnaeus Edford, 1868-",/agents/people/9272
"Lawrence, William Henry, b. 1868.",/agents/people/9273
"Rood, John R. (John Romain), b. 1868.",/agents/people/9274
"White, Trumbull, b. 1868.",/agents/people/9275
"Young, William Wesley, 1868-",/agents/people/9276
"Bishop, Edwin Whitney, 1869-",/agents/people/9277
"Florer, Warren Washburn, 1869-",/agents/people/9278
"Fretz, William G., 1869-",/agents/people/9279
"Marston, Thomas Frank, 1869-",/agents/people/9280
"Ruthledge, William P., 1869-",/agents/people/9281
"Wilder, George D. (George Durand), b. 1869.",/agents/people/9282
"Bulkley, Harry C. (Harry Conant), b. 1870.",/agents/people/9283
"Holmes, Burton, b. 1870.",/agents/people/9284
"Menken, S. Stanwood, 1870-",/agents/people/9285
"Moore, Andrew L., 1870-",/agents/people/9286
"Randall, Harrison M. (Harrison McAllister), 1870-",/agents/people/9287
"Smith, William Morris, b. 1870.",/agents/people/9288
"Strohm, Adam Julius, 1870-",/agents/people/9289
"Weber, Al H., 1870-",/agents/people/9290
"Alden, William C. (William Clinton), b. 1871.",/agents/people/9291
"Boucke, Ewald A. (Ewald Augustus), 1871-",/agents/people/9292
"Case, E. C. (Ermine Cowles), b. 1871.",/agents/people/9293
