Type,Publish,Authority ID,Source,Rules,ORIGINAL,Prefix,Family Name,Dates,Qualifier
famname,TRUE,http://id.loc.gov/authorities/names/n82063886,lcnaf,,Palmer family.,,Palmer,,Family
famname,TRUE,,lcnaf,,Claybourn family.,,Claybourn,,Family
famname,TRUE,http://id.loc.gov/authorities/names/no2013045666,lcnaf,,Cooley family.,,Cooley,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n81055151,lcnaf,,Copeland family.,,Copeland,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n94073194,lcnaf,,Crapo family.,,Crapo,,Family
famname,TRUE,,lcnaf,,Milliken family.,,Milliken,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n79067259,lcnaf,,Douglas family.,,Douglas,,Family
famname,TRUE,http://id.loc.gov/authorities/names/no2011088302,lcnaf,,Douglas family.,,Douglas,,Family
famname,TRUE,,lcnaf,,Early family.,,Early,,Family
famname,TRUE,,lcnaf,,Ellis family.,,Ellis,,Family
famname,TRUE,,lcnaf,,Merritt family.,,Merritt,,Family
famname,TRUE,http://id.loc.gov/authorities/names/nr89016998,lcnaf,,Fletcher family.,,Fletcher,,Family
famname,TRUE,,lcnaf,,Newton family.,,Newton,,Family
famname,TRUE,,lcnaf,,Strong family.,,Strong,,Family
famname,TRUE,,lcnaf,,Randall family.,,Randall,,Family
famname,TRUE,,lcnaf,,Potter family.,,Potter,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n88657243,lcnaf,,Goddard family.,,Goddard,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n2007012393,lcnaf,,Goodrich family.,,Goodrich,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n79107874,lcnaf,,Gorman family.,,Gorman,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n87862138,lcnaf,,Studley family.,,Studley,,Family
famname,TRUE,http://id.loc.gov/authorities/names/no2014128243,lcnaf,,Green family.,,Green,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n86851070,lcnaf,,Haisley family.,,Haisley,,Family
famname,TRUE,,lcnaf,,Hankinson family.,,Hankinson,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n80126245,lcnaf,,Adams family.,,Adams,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n88657243,lcnaf,,Ware family.,,Ware,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n2010060456,lcnaf,,Hill family.,,Hill,,Family
famname,TRUE,,lcnaf,,Waters family.,,Waters,,Family
famname,TRUE,,lcnaf,,Parker family.,,Parker,,Family
famname,TRUE,,lcnaf,,Hohn family.,,Hohn,,Family
famname,TRUE,,lcnaf,,Robertson family.,,Robertson,,Family
famname,TRUE,http://id.loc.gov/authorities/names/no2009014065,lcnaf,,Irwin family.,,Irwin,,Family
famname,TRUE,http://id.loc.gov/authorities/names/no2007152639,lcnaf,,Jickling family.,,Jickling,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n81055151,lcnaf,,Kellogg family.,,Kellogg,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n50052200,lcnaf,,Kellogg family.,,Kellogg,,Family
famname,TRUE,,lcnaf,,Kelly family.,,Kelly,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n84192953,lcnaf,,Stockdale family.,,Stockdale,,Family
famname,TRUE,,lcnaf,,Kevorkian family.,,Kevorkian,,Family
famname,TRUE,,lcnaf,,Smith family.,,Smith,,Family
famname,TRUE,,lcnaf,,White family.,,White,,Family
famname,TRUE,,lcnaf,,Leslie family.,,Leslie,,Family
famname,TRUE,http://id.loc.gov/authorities/names/no2011086515,lcnaf,,Waterman family.,,Waterman,,Family
famname,TRUE,,lcnaf,,Loughray family.,,Loughray,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n79054541,lcnaf,,Newman family.,,Newman,,Family
famname,TRUE,,lcnaf,,Martindale family.,,Martindale,,Family
famname,TRUE,,lcnaf,,Slatford family.,,Slatford,,Family
famname,TRUE,http://id.loc.gov/authorities/names/no2011086693,lcnaf,,Fenton family.,,Fenton,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n83163731,lcnaf,,McDonald family.,,McDonald,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n90688701,lcnaf,,Merriam family.,,Merriam,,Family
famname,TRUE,http://id.loc.gov/authorities/names/no99080842,lcnaf,,Wood family.,,Wood,,Family
famname,TRUE,,lcnaf,,Miller family.,,Miller,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n2004083974,lcnaf,,Monteith family.,,Monteith,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n50068171,lcnaf,,Netzorg family.,,Netzorg,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n87910587,lcnaf,,Nordman family.,,Nordman,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n79043367,lcnaf,,Whittelsey family.,,Whittelsey,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n94090783,lcnaf,,Moody family.,,Moody,,Family
famname,TRUE,,lcnaf,,O'Brien family.,,O'Brien,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n82098946,lcnaf,,Olson family.,,Olson,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n50069813,lcnaf,,Pattengill family.,,Pattengill,,Family
famname,TRUE,,lcnaf,,Woodward family.,,Woodward,,Family
famname,TRUE,,lcnaf,,Pearson family.,,Pearson,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n80004216,lcnaf,,Plummer family.,,Plummer,,Family
famname,TRUE,,lcnaf,,Poole family.,,Poole,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n50040225,lcnaf,,Post family.,,Post,,Family
famname,TRUE,,lcnaf,,Zimmerman family.,,Zimmerman,,Family
famname,TRUE,,lcnaf,,Radulovich family.,,Radulovich,,Family
famname,TRUE,,lcnaf,,Roosevelt family.,,Roosevelt,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n2003008945,lcnaf,,Schuler family.,,Schuler,,Family
famname,TRUE,,lcnaf,,Scripps family.,,Scripps,,Family
famname,TRUE,,lcnaf,,Shartel family.,,Shartel,,Family
famname,TRUE,,lcnaf,,Van Valin family.,,Van Valin,,Family
famname,TRUE,,lcnaf,,Showers family.,,Showers,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n85137476,lcnaf,,Slayton family.,,Slayton,,Family
