old,new
"Malcolm, George A. (George Arthur), 1881-1961","Malcolm, George A. (George Arthur), 1881-1961"
"Taft, William H. (William Howard), 1857-1930","Taft, William H. (William Howard), 1857-1930"
"Allen, Henry T. (Henry Tureman), 1859-1930","Allen, Henry T. (Henry Tureman), 1859-1930"
"Burrows, Julius C. (Julius Caesar), 1837-1915","Burrows, Julius C. (Julius Caesar), 1837-1915"
"Carpenter, Frank W. (Frank Watson), 1871-1938","Carpenter, Frank W. (Frank Watson), 1871-1938"
"Forbes, W. Cameron (William Cameron), 1870-1959","Forbes, W. Cameron (William Cameron), 1870-1959"
"Gilbert, Newton W. (Newton Whiting), 1862-1939","Gilbert, Newton W. (Newton Whiting), 1862-1939"
"Harbord, James G. (James Guthrie), 1866-1947","Harbord, James G. (James Guthrie), 1866-1947"
"Pershing, John J. (John Joseph), 1860-1948","Pershing, John J. (John Joseph), 1860-1948"
"Polk, Frank L. (Frank Lyon), 1871-1943","Polk, Frank L. (Frank Lyon), 1871-1943"
"Townsend, Charles E. (Charles Elroy), 1856-1924","Townsend, Charles E. (Charles Elroy), 1856-1924"
"Wickersham, George W. (George Woodward), 1858-1936","Wickersham, George W. (George Woodward), 1858-1936"
"Revelli, William D. (William Donald), 1902-1994","Revelli, William D. (William Donald), 1902-1994"
"BanÃ©r, Johan G. R. (Johan Gustav Runeskeold), 1861-1938","BanÃ©r, Johan G. R. (Johan Gustav Runeskeold), 1861-1938"
"BanÃ©r, Johan G. R. (Johan Gustav Runeskeold), 1861-1938","BanÃ©r, Johan G. R. (Johan Gustav Runeskeold), 1861-1938"
"BanÃ©r, Johan G. R. (Johan Gustav Runeskeold), 1861-1938","BanÃ©r, Johan G. R. (Johan Gustav Runeskeold), 1861-1938"
"Osborn, Chase S. (Chase Salmon), b. 1860","Osborn, Chase S. (Chase Salmon), 1860-1949"
"BanÃ©r, Skulda V. (Skulda Vanadis)","BanÃ©r, Skulda V. (Skulda Vanadis)"
"BanÃ©r, Skulda V. (Skulda Vanadis)","BanÃ©r, Skulda V. (Skulda Vanadis)"
"BanÃ©r, Skulda V. (Skulda Vanadis)","BanÃ©r, Skulda V. (Skulda Vanadis)"
"Osborn, Chase S. (Chase Salmon), b. 1860","Osborn, Chase S. (Chase Salmon), 1860-1949"
"Trowbridge, L. S. (Luther Stephen), 1836-1912","Trowbridge, L. S. (Luther Stephen), 1836-1912"
"Barbour, Levi L. (Levi Lewis), 1840-1925","Barbour, Levi L. (Levi Lewis), 1840-1925"
"Coughlin, Charles E. (Charles Edward), 1891-1979","Coughlin, Charles E. (Charles Edward), 1891-1979"
"Dewey, Thomas E. (Thomas Edmund), 1902-1971","Dewey, Thomas E. (Thomas Edmund), 1902-1971"
"Barrett, Albert M. (Albert Moore), 1871-1936","Barrett, Albert M. (Albert Moore), 1871-1936"
"Barrett, Albert M. (Albert Moore), 1871-1936","Barrett, Albert M. (Albert Moore), 1871-1936"
"Barrett, Albert M. (Albert Moore), 1871-1936","Barrett, Albert M. (Albert Moore), 1871-1936"
"Leslie, Eugene H. (Eugene Hendricks), b. 1892","Leslie, Eugene H. (Eugene Hendricks), b. 1892"
"Bartlett, Lynn M. (Lynn Mahlon), 1904-1970","Bartlett, Lynn M. (Lynn Mahlon), 1904-1970"
"Bartlett, Lynn M. (Lynn Mahlon), 1904-1970","Bartlett, Lynn M. (Lynn Mahlon), 1904-1970"
"Bartlett, Lynn M. (Lynn Mahlon), 1904-1970","Bartlett, Lynn M. (Lynn Mahlon), 1904-1970"
"Bates, Charles F. (Charles Franklin), d. 1922","Bates, Charles F. (Charles Franklin), d. 1922"
"Innes, Wm. P. (William Powers), 1826-1893","Innes, Wm. P. (William Powers), 1826-1893"
"Bulkley, Harry C. (Harry Conant), b. 1870","Bulkley, Harry C. (Harry Conant), b. 1870"
"Cardozo, Benjamin N. (Benjamin Nathan), 1870-1938","Cardozo, Benjamin N. (Benjamin Nathan), 1870-1938"
"Cook, William W. (William Wilson), 1858-1930","Cook, William W. (William Wilson), 1858-1930"
"Coudert, Frederic R. (Frederic RenÃƒÂ©), 1871-","Coudert, Frederic R. (Frederic René), 1871-"
"Dewey, Thomas E. (Thomas Edmund), 1902-1971","Dewey, Thomas E. (Thomas Edmund), 1902-1971"
"Gay, Edwin F. (Edwin Francis), 1867-1946","Gay, Edwin F. (Edwin Francis), 1867-1946"
"Hutchins, Harry B. (Harry Burns), 1847-1930","Hutchins, Harry B. (Harry Burns), 1847-1930"
"Michener, Earl C. (Earl Cory), 1876-1957","Michener, Earl C. (Earl Cory), 1876-1957"
"Sawyer, Walter H. (Walter Hulme), 1861-1931","Sawyer, Walter H. (Walter Hulme), 1861-1931"
"Taft, William H. (William Howard), 1857-1930","Taft, William H. (William Howard), 1857-1930"
"Voelker, John D. (John Donaldson), 1903-1991","Voelker, John D. (John Donaldson), 1903-1991"
"Wheeler, Burton K. (Burton Kendall), 1882-1975","Wheeler, Burton K. (Burton Kendall), 1882-1975"
"Boulding, Kenneth E. (Kenneth Ewart), 1910-1993","Boulding, Kenneth E. (Kenneth Ewart), 1910-1993"
"Burrows, Edwin G. (Edwin Grant), 1891-1958","Burrows, Edwin G. (Edwin Grant), 1891-1958"
"Cain, Stanley A. (Stanley Adair), 1902-1995","Cain, Stanley A. (Stanley Adair), 1902-1995"
"Childe, V. Gordon (Vere Gordon), 1892-1957","Childe, V. Gordon (Vere Gordon), 1892-1957"
