IDENTIFIER.OTHER,DC.TITLE,DC.DESCRIPTION.ABSTRACT,DC.CONTRIBUTOR.AUTHOR,DC.CONTRIBUTOR.OTHER,DC.DATE.ISSUED,DC.DATE.CREATED,DC.COVERAGE.TEMPORAL,DC.TITLE.FILENAME,DC.DESCRIPTION.FILENAME,DC.TYPE,DC.RIGHTS.ACCESS,DC.DATE.OPEN,DC.RIGHTS.COPYRIGHT,DC.LANGUAGE.ISO
9811_0003_0267,CBS Questions,,"Duderstadt, James J.",,2015,1/31/1989,,"Word Work File D 2030, 1 | Speeches-JJDS3b-jjd851.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0268,Coaches Reception,,"Duderstadt, James J.",,2015,4/19/1989,,"Word Work File D 2030, 1 | Speeches-JJDS3b-jjd852.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0269,Coaches Talk,,"Duderstadt, James J.",,2015,5/3/1989,,"Word Work File D 2030, 1 | Speeches-JJDS3b-jjd853.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0270,Commencement-1989,,"Duderstadt, James J.",,2015,4/30/1989,,"Word Work File D 2030, 1 | Speeches-JJDS3b-jjd854.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0271,Congressional Breakfast,,"Duderstadt, James J.",,2015,2/22/1989,,"Word Work File D 2030, 1 | Speeches-JJDS3b-jjd857.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0272,Continuity and Chaos,,"Duderstadt, James J.",,2015,3/24/1989,,"Word Work File D 2030, 1 | Speeches-JJDS3b-jjd859.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0273,Detroit Economics Club 1.1,,"Duderstadt, James J.",,2015,2/12/1989,,"Word Work File D 2030, 1 | Speeches-JJDS3b-jjd864.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0274,EO/SACUA/Student Retreat,,"Duderstadt, James J.",,2015,1/9/1989,,EO?SACUA?Student Retreat | Speeches-JJDS3b-jjd867.pdf,Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0275,Football Building Kickoff,,"Duderstadt, James J.",,2015,2/17/1989,,"Word Work File D 2030, 1 | Speeches-JJDS3b-jjd870.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0276,Honors Convocation-1989,,"Duderstadt, James J.",,2015,3/19/1989,,"Word Work File D 2030, 1 | Speeches-JJDS3b-jjd878.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0277,House Appro Com-3/89,,"Duderstadt, James J.",,2015,3/6/1989,,House Appro Com-3?89 | Speeches-JJDS3b-jjd879.pdf,Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0278,International Issues,,"Duderstadt, James J.",,2015,5/9/1989,,"Word Work File D 2030, 1 | Speeches-JJDS3b-jjd891.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0279,Internationalization,,"Duderstadt, James J.",,2015,5/27/1989,,"Word Work File D 2030, 1 | Speeches-JJDS3b-jjd892.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0280,Introductions,,"Duderstadt, James J.",,2015,3/19/1989,,"Word Work File D 2030, 1 | Speeches-JJDS3b-jjd893.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0281,IPPS Talk,,"Duderstadt, James J.",,2015,3/27/1989,,"Word Work File D 2030, 1 | Speeches-JJDS3b-jjd895.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0282,Lagatus,,"Duderstadt, James J.",,2015,6/1/1989,,"Word Work File D 2030, 1 | Speeches-JJDS3b-jjd896.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0283,Listen and Learn,,"Duderstadt, James J.",,2015,1/8/1989,,"Word Work File D 2030, 1 | Speeches-JJDS3b-jjd904.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0284,MLK Opening,,"Duderstadt, James J.",,2015,1/14/1989,,"Word Work File D 2030, 1 | Speeches-JJDS3b-jjd910.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0285,MLK-Business and Finance,,"Duderstadt, James J.",,2015,1/14/1989,,"Word Work File D 2030, 1 | Speeches-JJDS3b-jjd911.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0286,MLK-Closing,,"Duderstadt, James J.",,2015,1/14/1989,,"Word Work File D 2030, 1 | Speeches-JJDS3b-jjd912.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0287,MLK-Science Manpower Needs,,"Duderstadt, James J.",,2015,1/14/1989,,"Word Work File D 2030, 1 | Speeches-JJDS3b-jjd913.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0288,MLK-Unity March,,"Duderstadt, James J.",,2015,1/15/1989,,"Word Work File D 2030, 1 | Speeches-JJDS3b-jjd914.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0289,Mortar Board,,"Duderstadt, James J.",,2015,3/26/1989,,"Word Work File D 2030, 1 | Speeches-JJDS3b-jjd915.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0291,Phi Beta Kappa,,"Duderstadt, James J.",,2015,4/5/1989,,"Word Work File D 2030, 1 | Speeches-JJDS3b-jjd925.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
