dates	handle	title	authors	publisher	dateAdded	bitCount
2006/04-2015/10	2027.42/88631	Energy Discovery-Innovation Institutes: A Step Toward America's Energy Sustainability 	Duderstadt, James J. ; Muro, Mark 	Brookings Institution 	2011-12-23T16:45:05Z 	1
2006/04-2015/10	2027.42/88632	Energy Discovery-Innovation Institutes: A Step Toward Energy Sustainability 	Duderstadt, James J. 	Brookings 	2011-12-23T16:45:06Z 	1
2006/04-2015/10	2027.42/88628	Energy Discovery-Innovation Institutes: A Step toward America's Energy Sustainability 	Duderstadt, James J. 		2011-12-23T16:44:55Z 	1
2006/04-2015/10	2027.42/88633	Energy Research at the University of Michigan - A commitment to  Michigan's Future 	Duderstadt, James J. 		2011-12-23T16:45:08Z 	1
2006/04-2015/10	2027.42/88634	Engineering Comm. 	Duderstadt, James J. 		2011-12-23T16:45:10Z 	1
2006/04-2015/10	2027.42/88635	Engineering Commencement-88 	Duderstadt, James J. 		2011-12-23T16:45:11Z 	1
2006/04-2015/10	2027.42/88636	Engineering Design: A Foundation for a 21st Century Renaissance 	Duderstadt, James J. 		2011-12-23T16:45:12Z 	1
2006/04-2015/10	2027.42/88637	Engineering Education at Michigan - Past, Present, and Future 	Duderstadt, James J. 		2011-12-23T16:45:14Z 	1
2006/04-2015/10	2027.42/79532	Engineering Education at Michigan: Crisis Challenge and Opportunity, 1982 	Duderstadt, James J. 		2011-02-04T19:04:37Z 	1
2006/04-2015/10	2027.42/79531	Engineering Education at Michigan: Crisis Challenge and Opportunity, 1983 	College of Engineering, University of Michigan 		2011-02-04T19:04:32Z 	1
2006/04-2015/10	2027.42/88651	Engineering NAC Meeting 1986 	Duderstadt, James J. 		2011-12-23T16:45:37Z 	1
2006/04-2015/10	2027.42/88652	Engineering Research and America's Future - Meeting the Challenges of a Global Economy 	Duderstadt, James J. 	National Academy Press 	2011-12-23T16:45:38Z 	1
2006/04-2015/10	2027.42/88653	Engineering Research and America's Future: Meeting the Challenges of a Global Economy 	Duderstadt, James J. 		2011-12-23T16:45:40Z 	1
2006/04-2015/10	2027.42/88655	Engineering Research and America's Future: Meeting the Challenges of a Global Economy 	Duderstadt, James J. 	National Academy of Engineering 	2011-12-23T16:45:43Z 	1
2006/04-2015/10	2027.42/88638	Engineering for a Changing Road, A Roadmap to the Future of Engineering Practice, Research, and Education 	Duderstadt, James J. 		2011-12-23T16:45:16Z 	1
2006/04-2015/10	2027.42/88639	Engineering for a Changing Road, A Roadmap to the Future of Engineering Practice, Research, and Education 	Duderstadt, James J. 		2011-12-23T16:45:17Z 	1
2006/04-2015/10	2027.42/88640	Engineering for a Changing Road, A Roadmap to the Future of Engineering Practice, Research, and Education 	Duderstadt, James J. 		2011-12-23T16:45:19Z 	1
2006/04-2015/10	2027.42/88645	Engineering for a Changing World - A Roadmap to the Future of Engineering Practice, Research, and Education 	Duderstadt, James J. 		2011-12-23T16:45:24Z 	1
2006/04-2015/10	2027.42/88646	Engineering for a Changing World - A Roadmap to the Future of Engineering Practice, Research, and Education (Flexner) 	Duderstadt, James J. 		2011-12-23T16:45:26Z 	1
2006/04-2015/10	2027.42/88644	Engineering for a Changing World - A Roadmap to the Future of Engineering Practice, Research, and Education - Grasso 	Duderstadt, James J. 		2011-12-23T16:45:23Z 	1
2006/04-2015/10	2027.42/88647	Engineering for a Changing World - The Future of Engineering Practice, Research, and Education (ABET) 	Duderstadt, James J. 		2011-12-23T16:45:29Z 	1
2006/04-2015/10	2027.42/88650	Engineering for a Changing World - The Future of Engineering Practice, Research, and Education (Canada) 	Duderstadt, James J. 		2011-12-23T16:45:35Z 	1
2006/04-2015/10	2027.42/88648	Engineering for a Changing World - The Future of Engineering Practice, Research, and Education (Flexner) 	Duderstadt, James J. 		2011-12-23T16:45:31Z 	1
2006/04-2015/10	2027.42/88649	Engineering for a Changing World - The Future of Engineering Practice, Research, and Education (Grasso) 	Duderstadt, James J. 		2011-12-23T16:45:34Z 	1
2006/04-2015/10	2027.42/88656	Engler Add-in 	Duderstadt, James J. 		2011-12-23T16:45:44Z 	1
2006/04-2015/10	2027.42/88657	Engler-BRT 	Duderstadt, James J. 		2011-12-23T16:45:46Z 	1
2006/04-2015/10	2027.42/88667	Essay Subjects 	Duderstadt, James J. 		2011-12-23T16:45:59Z 	1
2006/04-2015/10	2027.42/88668	Essay-Academic Leadership 	Duderstadt, James J. 		2011-12-23T16:46:00Z 	1
2006/04-2015/10	2027.42/79541	Essential resource is knowledge 	Office of the President, University of Michigan 		2011-02-04T19:05:14Z 	1
2006/04-2015/10	2027.42/88669	Ethics and Value Conference 	Duderstadt, James J. 		2011-12-23T16:46:02Z 	1
2006/04-2015/10	2027.42/88670	Ethics and Values in the Contemporary University 	Duderstadt, James J. 		2011-12-23T16:46:03Z 	1
2006/04-2015/10	2027.42/88671	Ethnic Studies Luncheon (10-90) 	Duderstadt, James J. 		2011-12-23T16:46:05Z 	1
2006/04-2015/10	2027.42/88673	Ex Com Retreat-1-96 	Duderstadt, James J. 		2011-12-23T16:46:08Z 	1
2006/04-2015/10	2027.42/79554	Executive Committee Retreat Supporting Materials 	College of Engineering, University of Michigan 		2011-02-04T19:06:09Z 	1
2006/04-2015/10	2027.42/88674	Executive Summary 	Duderstadt, James J. 		2011-12-23T16:46:12Z 	1
2006/04-2015/10	2027.42/88675	Executive Summary of recommendations from NERAC 	Duderstadt, James J. 		2011-12-23T16:46:13Z 	1
2006/04-2015/10	2027.42/88677	Express Site Visit 1986 	Duderstadt, James J. 		2011-12-23T16:46:16Z 	1
2006/04-2015/10	2027.42/88678	External Interactions 	Duderstadt, James J. 		2011-12-23T16:46:17Z 	1
2006/04-2015/10	2027.42/88679	Eye on the Ball 	Duderstadt, James J. 		2011-12-23T16:46:18Z 	1
2006/04-2015/10	2027.42/88680	Eye on the Ball-II 	Duderstadt, James J. 		2011-12-23T16:46:19Z 	1
2006/04-2015/10	2027.42/88738	FY88-89 Budget 	Duderstadt, James J. 		2011-12-23T16:47:47Z 	1
2006/04-2015/10	2027.42/88681	Faculty Awards 	Duderstadt, James J. 		2011-12-23T16:46:20Z 	1
2006/04-2015/10	2027.42/88682	Faculty Awards 	Duderstadt, James J. 		2011-12-23T16:46:21Z 	1
2006/04-2015/10	2027.42/88683	Faculty Senate Assembly 	Duderstadt, James J. 		2011-12-23T16:46:23Z 	1
2006/04-2015/10	2027.42/88684	Faculty Welcome 4.2 	Duderstadt, James J. 		2011-12-23T16:46:25Z 	1
2006/04-2015/10	2027.42/88685	Fast Flux Test Facility 	Duderstadt, James J. 		2011-12-23T16:46:26Z 	1
2006/04-2015/10	2027.42/88686	Federal R&D Policy 	Duderstadt, James J. 		2011-12-23T16:46:27Z 	1
2006/04-2015/10	2027.42/88688	Federal Research Policy and the Future of the American Research University 	Duderstadt, James J. 		2011-12-23T16:46:31Z 	1
2006/04-2015/10	2027.42/88689	Federal Science and Technology 	Duderstadt, James J. 		2011-12-23T16:46:32Z 	1
2006/04-2015/10	2027.42/88690	Federal, Non-Federal, and Total Support for R&D as a Percent of GDP, 1953-1999 	Duderstadt, James J. 		2011-12-23T16:46:33Z 	1
2006/04-2015/10	2027.42/88691	Final Comments 	Duderstadt, James J. 		2011-12-23T16:46:34Z 	1
2006/04-2015/10	2027.42/88692	Financial Resources for the 1990's 	Duderstadt, James J. 		2011-12-23T16:46:36Z 	1
2006/04-2015/10	2027.42/88693	Financing the Future 	Duderstadt, James J. 		2011-12-23T16:46:38Z 	1
2006/04-2015/10	2027.42/88694	Financing the Public University in the New Millennium 	Duderstadt, James J. 		2011-12-23T16:46:39Z 	1
2006/04-2015/10	2027.42/88695	Financing the Public University in the New Millennium 1.0 	Duderstadt, James J. 		2011-12-23T16:46:40Z 	1
