IDENTIFIER.OTHER,DC.TITLE,DC.DESCRIPTION.ABSTRACT,DC.CONTRIBUTOR.AUTHOR,DC.CONTRIBUTOR.OTHER,DC.DATE.ISSUED,DC.DATE.CREATED,DC.COVERAGE.TEMPORAL,DC.TITLE.FILENAME ,RELATIVE_PATH,DC.DESCRIPTION.FILENAME,DC.TYPE,DC.RIGHTS.ACCESS,DC.DATE.OPEN,DC.RIGHTS.COPYRIGHT,DC.LANGUAGE.ISO
9811_0001_0713,"Digital Documents - University of Michigan Presidency, 1986-1997 - Presentations - 1988-1989 Presentations - FY88-89 Budget-5_88",,"Duderstadt, James J.",,undated,2015,undated,FY88-89 Budget-5_88,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Presentations\1988-1989 Presentations\FY88-89 Budget-5_88",Original version: OLE2 Compound Document Format,Presentation,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0714,"Digital Documents - University of Michigan Presidency, 1986-1997 - Presentations - 1988-1989 Presentations - Michigan Mandate 2.2",,"Duderstadt, James J.",,1988-11-20 00:00:00,2015,1988-11-20 00:00:00,Michigan Mandate 2.2 | jjd539.pdf | jjd539_bhl-c888b9c8.pdf,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Presentations\1988-1989 Presentations\Michigan Mandate 2.2 | \9811_0001\data\Presentations\JJDPR\jjd539.pdf | \converted_files\Presentations-JJDPR-jjd539_bhl-c888b9c8.pdf",Original version: OLE2 Compound Document Format | Preservation version | Subsequent preservation version,Presentation,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0715,"Digital Documents - University of Michigan Presidency, 1986-1997 - Presentations - 1988-1989 Presentations - Michigan Mandate 2.2C",,"Duderstadt, James J.",,1988-11-21 00:00:00,2015,1988-11-21 00:00:00,Michigan Mandate 2.2C | jjd540.pdf | jjd540_bhl-a9fc6fdb.pdf,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Presentations\1988-1989 Presentations\Michigan Mandate 2.2C | \9811_0001\data\Presentations\JJDPR\jjd540.pdf | \converted_files\Presentations-JJDPR-jjd540_bhl-a9fc6fdb.pdf",Original version: OLE2 Compound Document Format | Preservation version | Subsequent preservation version,Presentation,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0716,"Digital Documents - University of Michigan Presidency, 1986-1997 - Presentations - 1988-1989 Presentations - Mission Statement_",,"Duderstadt, James J.",,undated,2015,undated,Mission Statement_,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Presentations\1988-1989 Presentations\Mission Statement_",Original version: OLE2 Compound Document Format,Presentation,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0717,"Digital Documents - University of Michigan Presidency, 1986-1997 - Presentations - 1988-1989 Presentations - Mission-35mm_",,"Duderstadt, James J.",,undated,2015,undated,Mission-35mm_,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Presentations\1988-1989 Presentations\Mission-35mm_",Original version: OLE2 Compound Document Format,Presentation,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0718,"Digital Documents - University of Michigan Presidency, 1986-1997 - Presentations - 1989-1990 Presentations - Campaign Ideas",,"Duderstadt, James J.",,undated,2015,undated,Campaign Ideas,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Presentations\1989-1990 Presentations\Campaign Ideas",Original version: Microsoft Powerpoint Presentation,Presentation,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0719,"Digital Documents - University of Michigan Presidency, 1986-1997 - Presentations - 1989-1990 Presentations - Campaign--11_89",,"Duderstadt, James J.",,undated,2015,undated,Campaign--11_89,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Presentations\1989-1990 Presentations\Campaign--11_89",Original version: Microsoft Powerpoint Presentation,Presentation,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0720,"Digital Documents - University of Michigan Presidency, 1986-1997 - Presentations - 1989-1990 Presentations - Community Outreach",,"Duderstadt, James J.",,1989-04-26 00:00:00,2015,1989-04-26 00:00:00,Community Outreach | jjd545.pdf | jjd545_bhl-131f83f1.pdf,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Presentations\1989-1990 Presentations\Community Outreach | \9811_0001\data\Presentations\JJDPR\jjd545.pdf | \converted_files\Presentations-JJDPR-jjd545_bhl-131f83f1.pdf",Original version: Microsoft Powerpoint Presentation | Preservation version | Subsequent preservation version,Presentation,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0721,"Digital Documents - University of Michigan Presidency, 1986-1997 - Presentations - 1989-1990 Presentations - Leadership Retreat",,"Duderstadt, James J.",,1989-09-01 00:00:00,2015,1989-09-01 00:00:00,Leadership Retreat | jjd546.pdf | jjd546_bhl-159aa41d.pdf,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Presentations\1989-1990 Presentations\Leadership Retreat | \9811_0001\data\Presentations\JJDPR\jjd546.pdf | \converted_files\Presentations-JJDPR-jjd546_bhl-159aa41d.pdf",Original version: OLE2 Compound Document Format | Preservation version | Subsequent preservation version,Presentation,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0722,"Digital Documents - University of Michigan Presidency, 1986-1997 - Presentations - 1989-1990 Presentations - Regents Retreat",,"Duderstadt, James J.",,1989-07-08 00:00:00,2015,1989-07-08 00:00:00,Regents Retreat | jjd547.pdf | jjd547_bhl-8956df96.pdf,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Presentations\1989-1990 Presentations\Regents Retreat | \9811_0001\data\Presentations\JJDPR\jjd547.pdf | \converted_files\Presentations-JJDPR-jjd547_bhl-8956df96.pdf",Original version: Microsoft Powerpoint Presentation | Preservation version | Subsequent preservation version,Presentation,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0723,"Digital Documents - University of Michigan Presidency, 1986-1997 - Presentations - 1989-1990 Presentations - State Strategy-89",,"Duderstadt, James J.",,1989-09-11 00:00:00,2015,1989-09-11 00:00:00,State Strategy-89 | jjd548.pdf | jjd548_bhl-d0bcd91d.pdf,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Presentations\1989-1990 Presentations\State Strategy-89 | \9811_0001\data\Presentations\JJDPR\jjd548.pdf | \converted_files\Presentations-JJDPR-jjd548_bhl-d0bcd91d.pdf",Original version: Microsoft Powerpoint Presentation | Preservation version | Subsequent preservation version,Presentation,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
