Name,Description,Image,URL
"Hathaway, Arthur B.","Arthur B. Hathaway, from his papers",http://bentley.umich.edu/legacy-support/civilwar/images/hathaway.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=168
"Haydon, Charles B.","Charles B. Haydon, from his papers",http://bentley.umich.edu/legacy-support/civilwar/images/haydon.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=170
"Hempstead, Henry Mortimer","Henry M. Hempstead, from his papers",http://bentley.umich.edu/legacy-support/civilwar/images/hempstd.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=174
"Hendershot, Henry C.","Left to right: Unidentified soldier, David R. Trego, Henry C. Hendershot, from David R. Trego papers",http://bentley.umich.edu/legacy-support/civilwar/images/trego.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=379
"Hopper, George C.",George C. Hopper (left) with other officers of the 1st Michigan Infantry from the George C. Mogk papers,http://bentley.umich.edu/legacy-support/civilwar/images/hopper.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=246
"Howell, Seymour","Seymour Howell, from his papers",http://bentley.umich.edu/legacy-support/civilwar/images/howell.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=184
"Kidd, James Harvey","James H. Kidd, from his papers",http://bentley.umich.edu/legacy-support/civilwar/images/kidd.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=209
"Kingsley, Frank","Frank Kingsley, from the family papers",http://bentley.umich.edu/legacy-support/civilwar/images/kingsley.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=210
"Lewis, William Ely","William Ely Lewis, from Wells B. Fox, What I Remember of the Great Rebellion. Lansing, 1892.",http://bentley.umich.edu/legacy-support/civilwar/images/lewis.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=352
"Littlefield, Wesley B.","Wesley B. Littlefield, from the family papers",http://bentley.umich.edu/legacy-support/civilwar/images/littlef.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=218
"Lockley, George","George Lockley, from his papers",http://bentley.umich.edu/legacy-support/civilwar/images/lockley.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=220
"Lyon, Sanford W.","Sanford W. Lyon, from his papers",http://bentley.umich.edu/legacy-support/civilwar/images/lyonsa.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=227
"Lyon, Solomon T.","Solomon T. Lyon, from his papers",http://bentley.umich.edu/legacy-support/civilwar/images/lyonso.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=228
"McClelland, Robert","Robert McClelland, from his papers",http://bentley.umich.edu/legacy-support/civilwar/images/mcclell.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=484
"McCreery, Charles H.","William M. Fenton, from the family papers",http://bentley.umich.edu/legacy-support/civilwar/images/fenton.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=240
"McCreery, William B.","William M. Fenton, from the family papers",http://bentley.umich.edu/legacy-support/civilwar/images/fenton.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=240
"McGraw, Alexander H.","Alexander H. McGraw, from his papers",http://bentley.umich.edu/legacy-support/civilwar/images/mcgraw.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=242
"Minty, Robert H. G.",No description available.,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Lost_or_Unknown.svg/199px-Lost_or_Unknown.svg.png,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=43
"Mogk, George C.","George C. Mogk, from his papers",http://bentley.umich.edu/legacy-support/civilwar/images/mogk.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=251
"Monteith, George","Rev. John Monteith, Jr., and Major George Monteith, from the John Monteith papers",http://bentley.umich.edu/legacy-support/civilwar/images/monteith.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=254
"Monteith, John, Jr.","Rev. John Monteith, Jr., and Major George Monteith, from the John Monteith papers",http://bentley.umich.edu/legacy-support/civilwar/images/monteith.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=254
"Moore, Orlando","Orlando Moore, from his papers",http://bentley.umich.edu/legacy-support/civilwar/images/moore.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=256
"Morgan, Albert T.","Albert T. Morgan, from the Angela Morgan papers",http://bentley.umich.edu/legacy-support/civilwar/images/morgan.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=258
"Morrow, Henry A."," Byron M. Cutcheon,  from his The Story  of the Twentieth  Michigan Infantry. Lansing, 1904.",http://bentley.umich.edu/legacy-support/civilwar/images/cutcheon.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=222
"Nevins, William S.","James Wilson Sligh, from the family papers",http://bentley.umich.edu/legacy-support/civilwar/images/sligh.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=340
"Noll, Conrad","Conrad Noll, from his papers",http://bentley.umich.edu/legacy-support/civilwar/images/noll.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=272
"Parkhurst, John Gibson","John Gibson Parkhurst, from Charles W. Bennett, Historical Sketches of the Ninth Michigan Infantry. Coldwater, Mich., 1913.",http://bentley.umich.edu/legacy-support/civilwar/images/parkhurs.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=279
"Pease, Frank D.","Orlando B. Willcox, from Byron M. Cutcheon, Story of the Twentieth Michigan Infantry. Lansing, Mich.: Robert Smith Print. Co., 1904.",http://bentley.umich.edu/legacy-support/civilwar/images/willcox.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=439
"Poe, Orlando M.","Frank R. Chase, from Charles Woodruff papers",http://bentley.umich.edu/legacy-support/civilwar/images/chasef.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=338
"Potter, Theodore E.",George C. Hopper (left) with other officers of the 1st Michigan Infantry from the George C. Mogk papers,http://bentley.umich.edu/legacy-support/civilwar/images/hopper.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=246
"Ralph, Alfred","Alfred Ralph, from Milton Chase papers",http://bentley.umich.edu/legacy-support/civilwar/images/ralph.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=302
"Reynolds, William L.","Orlando B. Willcox, from Byron M. Cutcheon, Story of the Twentieth Michigan Infantry. Lansing, Mich.: Robert Smith Print. Co., 1904.",http://bentley.umich.edu/legacy-support/civilwar/images/willcox.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=439
"Richardson, Jonas D.",No description available.,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Lost_or_Unknown.svg/199px-Lost_or_Unknown.svg.png,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=313
"Robbins, Jerome John","Sarah Emma Edmonds, from her  Nurse and Spy in the Union Army.  Hartford, Conn., 1865.",http://bentley.umich.edu/legacy-support/civilwar/images/edmonds.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=315
"Sage, James A.","Frank R. Chase, from Charles Woodruff papers",http://bentley.umich.edu/legacy-support/civilwar/images/chasef.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=338
"Schneider, Frederick","Frederick Schneider, from his  Incidental History of the Flags and Color Guard of the Second Michigan Veteran Volunteer Infantry. Lansing, Mich., 1905.",http://bentley.umich.edu/legacy-support/civilwar/images/schneid.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=233
"Sessions, John Q. A."," Byron M. Cutcheon,  from his The Story  of the Twentieth  Michigan Infantry. Lansing, 1904.",http://bentley.umich.edu/legacy-support/civilwar/images/cutcheon.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=222
"Shay, Ephraim","Ephraim Shay, from his papers",http://bentley.umich.edu/legacy-support/civilwar/images/shay.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=334
"Sligh, James May","James Wilson Sligh, from the family papers",http://bentley.umich.edu/legacy-support/civilwar/images/sligh.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=340
"Sligh, James Wilson","James Wilson Sligh, from the family papers",http://bentley.umich.edu/legacy-support/civilwar/images/sligh.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=340
"Soule, Harrison","Harrison Soule, from his papers",http://bentley.umich.edu/legacy-support/civilwar/images/soule.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=347
"Spaulding, Oliver Lyman","William Ely Lewis, from Wells B. Fox, What I Remember of the Great Rebellion. Lansing, 1892.",http://bentley.umich.edu/legacy-support/civilwar/images/lewis.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=352
"Stark, Henry",Henry Stark from Milton Chase papers,http://bentley.umich.edu/legacy-support/civilwar/images/stark.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=158
