Handle,Title,IsPartOf,DateIssued,BitstreamUrl,Uri,rights
2027.42/88777,Heartland Draft,,2010,http://deepblue.lib.umich.edu/bitstream/2027.42/88777/1/2010_Heartland_Draft.pdf,http://hdl.handle.net/2027.42/88777,
2027.42/88778,Heisman Dinner,,1991,http://deepblue.lib.umich.edu/bitstream/2027.42/88778/1/1991_Heisman_Dinner_12-16-91_.pdf,http://hdl.handle.net/2027.42/88778,
2027.42/88779,High School Science Visit,,1990,http://deepblue.lib.umich.edu/bitstream/2027.42/88779/1/1990_High_School_Science_Visit_11-28-90.pdf,http://hdl.handle.net/2027.42/88779,
2027.42/88780,High Tech Talk,,1995,http://deepblue.lib.umich.edu/bitstream/2027.42/88780/1/1995_High_Tech_Talk_4-8-95.pdf,http://hdl.handle.net/2027.42/88780,
2027.42/88781,High Technology,,1987,http://deepblue.lib.umich.edu/bitstream/2027.42/88781/1/1987_High_Technology_3-1-87.pdf,http://hdl.handle.net/2027.42/88781,
2027.42/88782,Higher Education 1.0,,1989,http://deepblue.lib.umich.edu/bitstream/2027.42/88782/1/1989_Higher_Education_1.0_11-6-89.pdf,http://hdl.handle.net/2027.42/88782,
2027.42/88783,Higher Education in an Age of Knowledge,,1999,http://deepblue.lib.umich.edu/bitstream/2027.42/88783/1/1999_Azazels.pdf,http://hdl.handle.net/2027.42/88783,
2027.42/88784,Higher Education in the 21st Century,,6/2/2000,http://deepblue.lib.umich.edu/bitstream/2027.42/88784/1/2000_Naval_Personnel_Taskforce_1.0.pdf,http://hdl.handle.net/2027.42/88784,
2027.42/88785,"Higher Education in the 21st Century - Global Imperatives, Regional Challenges, National Responsibilities, and Emerging Opportunities",,2007,http://deepblue.lib.umich.edu/bitstream/2027.42/88785/1/2007_Glion_Lecture.pdf,http://hdl.handle.net/2027.42/88785,
2027.42/88786,"Higher Education in the 21st Century - National Imperatives, Global Opportunities",,2007,http://deepblue.lib.umich.edu/bitstream/2027.42/88786/1/2007_Salzburg_Overview.pdf,http://hdl.handle.net/2027.42/88786,
2027.42/88787,A Society of Learning: A Vision for the Future of the University in the New Millennium (UGA),,1/14/2000,http://deepblue.lib.umich.edu/bitstream/2027.42/88787/1/2000_UGA_Lecture.pdf,http://hdl.handle.net/2027.42/88787,
2027.42/88788,"Higher Education in the 21st Century: Global Imperatives, Regional Challenges, National Responsibilities, and Emerging Challenges",,9/1/2007,http://deepblue.lib.umich.edu/bitstream/2027.42/88788/1/2007_Glion_VI_Globalization.pdf,http://hdl.handle.net/2027.42/88788,
2027.42/88789,"Higher Education in the 21st Century: Global Imperatives, Regional Challenges, National Responsibilities, and Emerging Opportunities",,9/1/2007,http://deepblue.lib.umich.edu/bitstream/2027.42/88789/1/2007_Glion_VI_Duderstadt.pdf,http://hdl.handle.net/2027.42/88789,
2027.42/88790,Higher Education in the New Century,,6/22/2002,http://deepblue.lib.umich.edu/bitstream/2027.42/88790/1/2002_Nagoya_Keynote_Lecture_E.pdf,http://hdl.handle.net/2027.42/88790,
2027.42/88791,"Higher Education in the New Century: Themes, Challenges, and Opportunities",,6/22/2002,http://deepblue.lib.umich.edu/bitstream/2027.42/88791/1/2002_JAPAN_Revised2.pdf,http://hdl.handle.net/2027.42/88791,
2027.42/88792,"Higher Education in the New Century: Themes, Challenges, and Opportunities",,2005,http://deepblue.lib.umich.edu/bitstream/2027.42/88792/1/2005_ITU_Final.pdf,http://hdl.handle.net/2027.42/88792,
2027.42/88793,"Higher Education in the New Century: Themes, Challenges, and Options (UCLA)",,2/6/2003,http://deepblue.lib.umich.edu/bitstream/2027.42/88793/1/2003_UCLA_Higher_Ed_Future.pdf,http://hdl.handle.net/2027.42/88793,
2027.42/88794,"Higher Education in the New Century: Themes, Challenges, and Options (USC)",,2/6/2003,http://deepblue.lib.umich.edu/bitstream/2027.42/88794/1/2003_USC_Address_1.1.pdf,http://hdl.handle.net/2027.42/88794,
2027.42/88795,Higher Education in the United States,,2007,http://deepblue.lib.umich.edu/bitstream/2027.42/88795/1/2007_Salzburg_US_Status.pdf,http://hdl.handle.net/2027.42/88795,
2027.42/88796,Higher Education Today and Tomorrow: A Global Perspective,,2010,http://deepblue.lib.umich.edu/bitstream/2027.42/88796/1/2010_Chinese_Leaders_Presentation.pdf,http://hdl.handle.net/2027.42/88796,
2027.42/88797,"Higher Education, A Global Perspective",,2008,http://deepblue.lib.umich.edu/bitstream/2027.42/88797/1/2008_World_Universities_Europe.pdf,http://hdl.handle.net/2027.42/88797,
2027.42/88798,A Status Report from the Quality Subcommittee National Commission on the Future of Higher Education,,2/2/2006,http://deepblue.lib.umich.edu/bitstream/2027.42/88798/1/2006_Revised_San_Diego_Pres.pdf,http://hdl.handle.net/2027.42/88798,
2027.42/88799,Higher Learning in the Digital Age,,2004,http://deepblue.lib.umich.edu/bitstream/2027.42/88799/1/2004_EDUCOM_Digital_Age.pdf,http://hdl.handle.net/2027.42/88799,
2027.42/88800,Higher Learning in the Digital Age: An Update on a National Academies Study,,5/21/2004,http://deepblue.lib.umich.edu/bitstream/2027.42/88800/1/2005_World_Wide_Web_Talk_1.0.pdf,http://hdl.handle.net/2027.42/88800,
2027.42/88801,Higher Learning in the Digital Age: An Update on a National Academies Study (Educause),,10/20/2004,http://deepblue.lib.umich.edu/bitstream/2027.42/88801/1/2004_Educause_102004.pdf,http://hdl.handle.net/2027.42/88801,
2027.42/88802,Higher Learning in the Digital Age: An Update on a National Academies Study,,10/20/2004,http://deepblue.lib.umich.edu/bitstream/2027.42/88802/1/2004_Educause_3.pdf,http://hdl.handle.net/2027.42/88802,
2027.42/88803,Hispanic Heritage,,1989,http://deepblue.lib.umich.edu/bitstream/2027.42/88803/1/1989_Hispanic_Heritage_9-17-89.pdf,http://hdl.handle.net/2027.42/88803,
2027.42/88804,Holiday Card,,1993,http://deepblue.lib.umich.edu/bitstream/2027.42/88804/1/1993_Holiday_Card.pdf,http://hdl.handle.net/2027.42/88804,
2027.42/88805,Homecoming Welcome,,1987,http://deepblue.lib.umich.edu/bitstream/2027.42/88805/1/1987_Homecoming_Welcome_10-31-87.pdf,http://hdl.handle.net/2027.42/88805,
2027.42/88806,Homecoming-89,,1989,http://deepblue.lib.umich.edu/bitstream/2027.42/88806/1/1989_Homecoming-89_10-28-89.pdf,http://hdl.handle.net/2027.42/88806,
2027.42/88807,Honorary Degree Dinner,,1991,http://deepblue.lib.umich.edu/bitstream/2027.42/88807/1/1991_Honorary_Degree_Dinner_5-3-91.pdf,http://hdl.handle.net/2027.42/88807,
2027.42/88808,Honorary Degree Dinner,,1993,http://deepblue.lib.umich.edu/bitstream/2027.42/88808/1/1993_Honorary_Degree_Dinner_4-30-93.pdf,http://hdl.handle.net/2027.42/88808,
2027.42/88809,A Study in Contrasts: Postsecondary Education in Michigan and Ontario (1.3),,11/19/1997,http://deepblue.lib.umich.edu/bitstream/2027.42/88809/1/1997_Ontario_Text_1.3.pdf,http://hdl.handle.net/2027.42/88809,
2027.42/88810,Honors Convocation,,1988,http://deepblue.lib.umich.edu/bitstream/2027.42/88810/1/1988_Honors_Convocation_3-19-89.pdf,http://hdl.handle.net/2027.42/88810,
2027.42/88811,Honors Convocation,,1996,http://deepblue.lib.umich.edu/bitstream/2027.42/88811/1/1996_Honors_Convocation_3-21-96.pdf,http://hdl.handle.net/2027.42/88811,
2027.42/88812,Honors Convocation-1989,,1989,http://deepblue.lib.umich.edu/bitstream/2027.42/88812/1/1989_Honors_Convocation-1989_3-19-89.pdf,http://hdl.handle.net/2027.42/88812,
2027.42/88813,Honors Convocation-1991,,1991,http://deepblue.lib.umich.edu/bitstream/2027.42/88813/1/1991_Honors_Convocation-1991_3-23-91.pdf,http://hdl.handle.net/2027.42/88813,
2027.42/88814,House Appropriations Committee,,1989,http://deepblue.lib.umich.edu/bitstream/2027.42/88814/1/1989_House_Appro_Com-3-89_3-6-89.pdf,http://hdl.handle.net/2027.42/88814,
2027.42/88815,How Do We Get From Here to There?,,2007,http://deepblue.lib.umich.edu/bitstream/2027.42/88815/1/2007_EUA_Duderstadt_Text.pdf,http://hdl.handle.net/2027.42/88815,
2027.42/88816,Hubs of Transformation: Leveraging the Great Lakes Research Complex for Energy Innovation,,2010,http://deepblue.lib.umich.edu/bitstream/2027.42/88816/1/2010_Auto_Summit_Paper_EnergyHubs.pdf,http://hdl.handle.net/2027.42/88816,
2027.42/88817,Hubs of Transformation: Leveraging the Great Lakes Research Complex for Energy Innovation,,2010-06,http://deepblue.lib.umich.edu/bitstream/2027.42/88817/1/2010_Brookings_Hubs_of_Innovation.pdf,http://hdl.handle.net/2027.42/88817,
2027.42/88818,Hubs of Transformation: Leveraging the Great Lakes Research Complex for Energy Sector Innovation,,2008,http://deepblue.lib.umich.edu/bitstream/2027.42/88818/1/2008_GTI-eDII_FinalDraft.pdf,http://hdl.handle.net/2027.42/88818,
2027.42/88819,Human Genetics,,1987,http://deepblue.lib.umich.edu/bitstream/2027.42/88819/1/1987_Human_Genetics_3-5-87.pdf,http://hdl.handle.net/2027.42/88819,
2027.42/88820,A Study in Contrasts: Postsecondary Education in Michigan and Ontario,,11/19/1997,http://deepblue.lib.umich.edu/bitstream/2027.42/88820/1/1997_Ontario_Text.pdf,http://hdl.handle.net/2027.42/88820,
2027.42/88821,Hydrogen Initiatives Draft 2.2,,2004,http://deepblue.lib.umich.edu/bitstream/2027.42/88821/1/2004_Hydrogen_Draft.2.pdf,http://hdl.handle.net/2027.42/88821,
2027.42/88822,ICPSR Welcome,,1987,http://deepblue.lib.umich.edu/bitstream/2027.42/88822/1/1987_ICPSR_Welcome_11-14-87.pdf,http://hdl.handle.net/2027.42/88822,
2027.42/88823,ICR,,1991,http://deepblue.lib.umich.edu/bitstream/2027.42/88823/1/1991_ICR_5-21-91.pdf,http://hdl.handle.net/2027.42/88823,
2027.42/88824,ICR Points,,1991,http://deepblue.lib.umich.edu/bitstream/2027.42/88824/1/1991_ICR_Points_5-17-91.pdf,http://hdl.handle.net/2027.42/88824,
2027.42/88825,IFS Reception,,1988,http://deepblue.lib.umich.edu/bitstream/2027.42/88825/1/1988_IFS_Reception_8-30-88.pdf,http://hdl.handle.net/2027.42/88825,
2027.42/88826,In Search of a 2x4: Change and the Academy (1.2),,10/19/2001,http://deepblue.lib.umich.edu/bitstream/2027.42/88826/1/2001_UCLA_1.2.pdf,http://hdl.handle.net/2027.42/88826,
2027.42/88827,In Search of a 2x4: Change and the Academy,,10/19/2001,http://deepblue.lib.umich.edu/bitstream/2027.42/88827/1/2001_UCLA_In_search_of_a_2x4.pdf,http://hdl.handle.net/2027.42/88827,
2027.42/88828,In Search of a 2x4: Change and the Academy,,11/7/2001,http://deepblue.lib.umich.edu/bitstream/2027.42/88828/1/2001_Colorado.pdf,http://hdl.handle.net/2027.42/88828,
2027.42/88829,In the beginning…there was the central 40 acre campus (1),,2002,http://deepblue.lib.umich.edu/bitstream/2027.42/88829/1/2002_Duderstadt_North_Campus_History.pdf,http://hdl.handle.net/2027.42/88829,
2027.42/88830,In the beginning…there was the central 40 acre campus (2),,2002,http://deepblue.lib.umich.edu/bitstream/2027.42/88830/1/2002_North_Campus_History.pdf,http://hdl.handle.net/2027.42/88830,
2027.42/88831,A Study in Contrasts: Postsecondary Education in Michigan and Ontario (U Toronto),,11/19/1997,http://deepblue.lib.umich.edu/bitstream/2027.42/88831/1/1997_U_Toronto_Higher_Ed.pdf,http://hdl.handle.net/2027.42/88831,
2027.42/88832,Inaugural Breakfast,,1988,http://deepblue.lib.umich.edu/bitstream/2027.42/88832/1/1988_Inaug_Breakfast_10-5-88.pdf,http://hdl.handle.net/2027.42/88832,
2027.42/88833,Inaugural Luncheon,,1988,http://deepblue.lib.umich.edu/bitstream/2027.42/88833/1/1988_Inaug_Luncheon_10-5-88.pdf,http://hdl.handle.net/2027.42/88833,
2027.42/88834,Inaugural Student Picnic,,1988,http://deepblue.lib.umich.edu/bitstream/2027.42/88834/1/1988_Inaug_Student_Picnic_10-5-88.pdf,http://hdl.handle.net/2027.42/88834,
2027.42/88835,Inauguration 1.2,,1988,http://deepblue.lib.umich.edu/bitstream/2027.42/88835/1/1988_Inauguration_1.2_9-16-88.pdf,http://hdl.handle.net/2027.42/88835,
2027.42/88836,Inauguration Final Speech,,1988,http://deepblue.lib.umich.edu/bitstream/2027.42/88836/1/1988_Inauguration_Final_Speech_10-5-88.pdf,http://hdl.handle.net/2027.42/88836,
2027.42/88837,Inauguration of President Maureen Hartford,,2000,http://deepblue.lib.umich.edu/bitstream/2027.42/88837/1/2000_MAH_Inauguration.pdf,http://hdl.handle.net/2027.42/88837,
2027.42/88838,Inauguration Remarks List,,1988,http://deepblue.lib.umich.edu/bitstream/2027.42/88838/1/1988_Inauguration_Remarks_List_10-2-88.pdf,http://hdl.handle.net/2027.42/88838,
2027.42/88839,Inauguration Week Talks,,1988,http://deepblue.lib.umich.edu/bitstream/2027.42/88839/1/1988_Inauguration_Week_Talks_9-27-88.pdf,http://hdl.handle.net/2027.42/88839,
2027.42/88840,Independent Rankings,,1991,http://deepblue.lib.umich.edu/bitstream/2027.42/88840/1/1991_Independent_Rankings_5-14-91.pdf,http://hdl.handle.net/2027.42/88840,
2027.42/88841,Industrial Technology Institute Dedication,,1987,http://deepblue.lib.umich.edu/bitstream/2027.42/88841/1/1987_Industrial_Technology_Institute_Dedication_10-22-87.pdf,http://hdl.handle.net/2027.42/88841,
2027.42/88842,A Tale of Two Futures - The Future of the University in an Age of Knowledge,,1999,http://deepblue.lib.umich.edu/bitstream/2027.42/88842/1/1999_Ohio_State_2.0.pdf,http://hdl.handle.net/2027.42/88842,
2027.42/88844,Information Technology and the Future of the University,,2002,http://deepblue.lib.umich.edu/bitstream/2027.42/88844/1/2002_Azazels_Presentation.pdf,http://hdl.handle.net/2027.42/88844,
2027.42/88845,Information Technology and the Future of the University (5.0),,2002,http://deepblue.lib.umich.edu/bitstream/2027.42/88845/1/2002_IT_and_Future_of_Res_U_5.0.pdf,http://hdl.handle.net/2027.42/88845,
2027.42/88846,Information Technology and the Future of the University,,2003,http://deepblue.lib.umich.edu/bitstream/2027.42/88846/1/2003_ITFRU_Talk_1.0_2.pdf,http://hdl.handle.net/2027.42/88846,
2027.42/88847,Information Technology and the Future of the University,,2005,http://deepblue.lib.umich.edu/bitstream/2027.42/88847/1/2005_ITFRU_Talk_2.1.pdf,http://hdl.handle.net/2027.42/88847,
2027.42/88848,Inglis House Faculty Dinners,,1987,http://deepblue.lib.umich.edu/bitstream/2027.42/88848/1/1987_Inglis_House_Faculty_Dinners_10-4-87.pdf,http://hdl.handle.net/2027.42/88848,
