IDENTIFIER.OTHER,DC.TITLE,DC.DESCRIPTION.ABSTRACT,DC.CONTRIBUTOR.AUTHOR,DC.CONTRIBUTOR.OTHER,DC.DATE.ISSUED,DC.DATE.CREATED,DC.COVERAGE.TEMPORAL,RELATIVE_PATH,DC.DESCRIPTION.FILENAME,DC.TYPE,DC.RIGHTS.ACCESS,DC.DATE.OPEN,DC.RIGHTS.COPYRIGHT,DC.LANGUAGE.ISO
9811_0001_0811,"Digital Documents - University of Michigan Presidency, 1986-1997 - Strategy - 1986-1997 - ASIS Talk",,"Duderstadt, James J.",,5/23/1994 0:00,2015,5/23/1994 0:00,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Strategy_\1994-1995 Strategy\ASIS Talk | \9811_0001\data\Strategy\JJDST1\jjd1614.doc",Original version: Microsoft Word for Macintosh Document | Preservation version,Office Documents,"[ER Restricted until July 1, 2030]",7/1/2030,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0812,"Digital Documents - University of Michigan Presidency, 1986-1997 - Strategy - 1986-1997 - ITIC Groundbreaking",,"Duderstadt, James J.",,4/9/1994 0:00,2015,4/9/1994 0:00,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Strategy_\1994-1995 Strategy\ITIC Groundbreaking | \9811_0001\data\Strategy\JJDST1\jjd1615.doc",Original version: Microsoft Word for Macintosh Document | Preservation version,Office Documents,"[ER Restricted until July 1, 2030]",7/1/2030,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0813,"Digital Documents - University of Michigan Presidency, 1986-1997 - Strategy - 1986-1997 - Kellogg 3",,"Duderstadt, James J.",,9/14/1994 0:00,2015,9/14/1994 0:00,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Strategy_\1994-1995 Strategy\Kellogg 3 | \9811_0001\data\Strategy\JJDST1\jjd1616.doc",Original version: Microsoft Word for Macintosh Document | Preservation version,Office Documents,"[ER Restricted until July 1, 2030]",7/1/2030,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0814,"Digital Documents - University of Michigan Presidency, 1986-1997 - Strategy - 1986-1997 - Stanford Forum",,"Duderstadt, James J.",,12/18/1994 0:00,2015,12/18/1994 0:00,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Strategy_\1994-1995 Strategy\Stanford Forum | \9811_0001\data\Strategy\JJDST1\jjd1617.doc",Original version: Microsoft Word for Macintosh Document | Preservation version,Office Documents,"[ER Restricted until July 1, 2030]",7/1/2030,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0815,"Digital Documents - University of Michigan Presidency, 1986-1997 - Strategy - 1986-1997 - Strategic Agenda 1.31",,"Duderstadt, James J.",,7/20/1994 0:00,2015,7/20/1994 0:00,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Strategy_\1994-1995 Strategy\Strategic Agenda 1.31 | \9811_0001\data\Strategy\JJDST1\jjd1618.doc",Original version: Microsoft Word for Macintosh Document | Preservation version,Office Documents,"[ER Restricted until July 1, 2030]",7/1/2030,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0816,"Digital Documents - University of Michigan Presidency, 1986-1997 - Strategy - 1986-1997 - Strategic Evolution",,"Duderstadt, James J.",,11/10/1994 0:00,2015,11/10/1994 0:00,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Strategy_\1994-1995 Strategy\Strategic Evolution | \9811_0001\data\Strategy\JJDST1\jjd1619.ppt",Original version: Microsoft Powerpoint Presentation | Preservation version,Office Documents,"[ER Restricted until July 1, 2030]",7/1/2030,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0817,"Digital Documents - University of Michigan Presidency, 1986-1997 - Strategy - 1986-1997 - Strategic Evolution-Old",,"Duderstadt, James J.",,11/10/1994 0:00,2015,11/10/1994 0:00,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Strategy_\1994-1995 Strategy\Strategic Evolution-Old | \9811_0001\data\Strategy\JJDST1\jjd1620.ppt",Original version: Microsoft Powerpoint Presentation | Preservation version,Office Documents,"[ER Restricted until July 1, 2030]",7/1/2030,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0818,"Digital Documents - University of Michigan Presidency, 1986-1997 - Strategy - 1986-1997 - Trans Course 2.1",,"Duderstadt, James J.",,2/25/1994 0:00,2015,2/25/1994 0:00,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Strategy_\1994-1995 Strategy\Trans Course 2.1 | \9811_0001\data\Ideas\JJDI8\jjd308.ppt",Original version: OLE2 Compound Document Format | Preservation version,Office Documents,"[ER Restricted until July 1, 2030]",7/1/2030,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0819,"Digital Documents - University of Michigan Presidency, 1986-1997 - Strategy - 1986-1997 - Trans Team 2.0",,"Duderstadt, James J.",,5/7/1994 0:00,2015,5/7/1994 0:00,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Strategy_\1994-1995 Strategy\Trans Team 2.0 | \9811_0001\data\Strategy\JJDST1\jjd1622.ppt",Original version: OLE2 Compound Document Format | Preservation version,Office Documents,"[ER Restricted until July 1, 2030]",7/1/2030,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0820,"Digital Documents - University of Michigan Presidency, 1986-1997 - Strategy - 1986-1997 - Transformation Text 1.5",,"Duderstadt, James J.",,7/24/1995 0:00,2015,7/24/1995 0:00,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Strategy_\1994-1995 Strategy\Transformation Text 1.5 | \9811_0001\data\Write\JJDW8\jjd2187.doc",Original version: Microsoft Word for Macintosh Document | Preservation version,Office Documents,"[ER Restricted until July 1, 2030]",7/1/2030,Copyright has been transferred to the Regents of the University of Michigan.,en
