alumID,type,addressID
2849,home,462
838,business,462
1406,business,462
1830,business,462
958,birth,463
2534,birth,464
2108,birth,465
1732,birth,466
1386,business,467
1769,birth,468
2312,birth,469
2983,home,469
2983,business,469
546,home,470
75,business,470
524,business,470
546,business,470
912,home,471
55,birth,471
1206,birth,471
3044,birth,471
1206,home,471
1557,home,471
2028,home,471
2159,home,471
2550,home,471
3001,home,471
153,business,471
769,business,471
2849,business,471
3001,business,471
1583,birth,472
2259,home,473
439,birth,474
1778,birth,474
2788,birth,474
1686,home,474
2788,home,474
2788,business,474
2573,home,475
2573,business,475
2791,business,475
2390,business,476
2502,birth,477
702,birth,478
1877,birth,479
309,birth,480
1883,birth,480
2231,birth,481
2890,birth,481
2895,birth,481
3001,birth,481
600,home,481
644,home,481
600,business,481
644,business,481
558,birth,482
892,birth,483
2894,home,2076
2350,birth,484
1588,birth,485
2519,birth,485
2519,home,485
2015,birth,486
1557,birth,487
2235,home,487
2262,home,488
2791,home,488
2841,home,488
2925,birth,489
2925,home,489
818,birth,490
1496,birth,490
2566,business,490
174,birth,491
740,birth,491
740,home,491
66,business,491
740,business,491
1997,business,491
2375,birth,491
2149,birth,492
1180,birth,493
1747,home,494
2901,birth,495
439,home,495
439,business,495
2085,home,496
2085,business,496
1811,birth,497
1811,home,497
1852,birth,498
2006,birth,499
2417,birth,500
2031,birth,501
1299,birth,502
2752,birth,503
667,birth,504
2649,birth,504
2978,birth,504
1381,home,504
2140,business,505
171,birth,506
2875,birth,507
2376,birth,508
2568,home,508
2725,home,508
925,business,508
2568,business,508
567,home,508
567,business,508
1079,home,509
2827,home,510
2085,birth,511
2418,home,512
2962,home,513
66,home,514
514,home,515
1848,home,515
2603,home,515
514,business,515
1848,business,515
1983,home,516
2383,birth,517
2498,birth,518
2498,home,518
1327,business,518
56,birth,519
251,birth,519
1095,birth,519
1626,birth,519
2254,business,476
1127,birth,520
46,business,521
2105,home,522
2143,home,523
559,birth,524
1776,birth,525
1776,home,525
908,home,526
237,birth,527
2863,home,527
2863,business,527
705,birth,528
321,birth,529
677,birth,530
1053,birth,531
1229,birth,532
2455,birth,533
2726,home,534
2696,birth,535
621,birth,536
621,home,536
621,business,536
113,birth,537
1595,birth,537
72,business,538
2455,home,539
1754,birth,540
89,birth,541
1136,home,542
317,birth,543
1047,birth,543
1513,birth,543
317,home,543
1047,home,543
1047,business,543
448,business,543
2756,birth,544
1129,home,544
2756,home,544
26,business,544
1129,business,544
1452,birth,545
196,birth,546
738,birth,546
775,birth,546
1510,birth,546
1592,birth,546
2073,birth,546
2074,birth,546
2434,birth,546
2564,birth,546
196,home,546
832,home,546
947,home,546
1510,home,546
2061,home,546
2434,home,546
2564,home,546
196,business,546
832,business,546
947,business,546
2434,business,546
1118,birth,547
1900,birth,548
773,home,549
1450,birth,550
1745,business,551
603,home,552
603,business,553
1056,business,553
792,birth,554
2319,birth,554
2410,birth,554
792,home,554
792,business,554
2601,home,555
2601,business,555
35,business,556
2242,home,557
708,birth,558
2466,home,559
1513,home,559
851,business,559
773,birth,560
26,birth,560
620,home,561
1127,home,561
620,business,561
791,business,561
23,birth,562
363,birth,562
643,birth,562
1915,birth,562
1993,birth,562
363,home,562
503,home,562
509,home,562
597,home,562
608,home,562
899,home,562
1053,home,562
1134,home,562
1185,home,562
1504,home,562
1704,home,562
1867,home,562
2254,home,562
2457,home,562
2860,home,562
2862,home,562
53,business,562
73,business,562
147,business,562
183,business,562
274,business,562
300,business,562
503,business,562
509,business,562
608,business,562
1053,business,562
1185,business,562
1435,business,562
1704,business,562
2457,business,562
2860,business,562
23,home,563
1766,birth,564
1867,birth,564
2790,birth,564
275,birth,565
466,birth,565
2384,birth,565
2132,birth,565
2143,birth,566
1965,birth,567
2856,birth,568
630,birth,569
1623,birth,569
1983,birth,569
2830,birth,569
813,home,569
1623,home,569
2830,home,569
812,business,569
1623,business,569
1906,birth,570
2390,birth,570
345,home,570
2390,home,570
46,birth,571
478,birth,569
600,birth,572
1230,birth,573
772,birth,574
2543,home,575
113,business,575
812,birth,576
813,birth,576
1119,birth,576
1281,birth,576
2524,birth,576
1281,home,576
464,business,577
1222,birth,578
630,home,579
630,business,579
2242,birth,580
695,birth,577
152,birth,2081
50,birth,2082
63,birth,2083
175,birth,581
